project,report_ID,task_ID,"task_state (rejected, pending, completed)","expired (Yes or No)",user,task_create_date,report_start_date,report_save_date,report_update_date,last_user,report_sent_date,task_limit_date,task_update_date,task_latitude,task_longitude,report_latitude,report_longitude,task_description,task_observation,Detalle,"Tipo incidencia","Localización (Mapa)",Foto,Observaciones
INCIDENCIA,KDPQZ,,,Yes,ayagaures.pistas1,,"2018-01-03 14:40:06","2018-01-03 14:41:17","2018-01-03 15:37:29",,"2018-01-03 15:37:29",,,,,27.899139,-15.5336989,,,Detalle,"Caída distinto nivel","27.87480370259606,-15.533460974693298",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/117_03-01-2018_14-41-17_1513762025395.png,
INCIDENCIA,KDPQd,,,Yes,ayagaures.pistas1,,"2018-01-03 14:49:12","2018-01-03 14:52:28","2018-01-03 15:48:43",,"2018-01-03 15:48:43",,,,,27.8969252,-15.5560472,,,Detalle,Cárcavas,"27.87049255362112,-15.533366426825525",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/118_03-01-2018_14-52-28_1513762025395.png,"Afloramiento de piedras."
INCIDENCIA,KDPQ4,,,Yes,ayagaures.pistas1,,"2018-01-03 14:57:02","2018-01-03 14:59:05","2018-01-03 15:55:18",,"2018-01-03 15:55:18",,,,,27.8187606,-15.4655728,,,Detalle,Cárcavas,"27.869039954751845,-15.532877594232561",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/119_03-01-2018_14-59-05_1513762025395.png,
INCIDENCIA,KDPQu,,,Yes,ayagaures.pistas1,,"2018-01-03 15:35:36","2018-01-03 15:37:50","2018-01-03 16:34:10",,"2018-01-03 16:34:10",,,,,27.8187606,-15.4655728,,,Detalle,Desprendimiento,"27.855463838302843,-15.518695749342442",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/123_03-01-2018_15-37-50_1513762025395.png,
INCIDENCIA,KDPQQ,,,Yes,ayagaures.pistas1,,"2018-01-03 15:49:29","2018-01-03 15:50:52","2018-01-03 16:47:02",,"2018-01-03 16:47:02",,,,,27.8579366,-15.4289568,,,Detalle,Desprendimiento,"27.845815883721894,-15.505732968449593",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/124_03-01-2018_15-50-52_1513762025395.png,
INCIDENCIA,KDPSD,,,Yes,ayagaures.pistas1,,"2018-01-03 16:08:54","2018-01-03 16:10:13","2018-01-03 17:06:28",,"2018-01-03 17:06:28",,,,,27.8324135,-15.4304213,,,Detalle,Cárcavas,"27.84281128334658,-15.48593658953905",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/126_03-01-2018_16-10-13_1513762025395.png,
INCIDENCIA,KDPSU,,,Yes,ayagaures.pistas1,,"2018-01-03 16:51:20","2018-01-03 16:54:01","2018-01-03 17:50:12",,"2018-01-03 17:50:12",,,,,27.8485231,-15.4582489,,,Detalle,"Limita/Prohibe Paso","27.84366686919589,-15.474526807665827",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/130_03-01-2018_16-54-01_1513762025395.png,"El acceso esta cerrado con tierra. La pista esta muy difuminada al principio."
INCIDENCIA,KDPS4,,,Yes,ayagaures.pistas1,,"2018-01-03 17:00:59","2018-01-03 17:02:08","2018-01-03 17:58:20",,"2018-01-03 17:58:20",,,,,27.8436468,-15.4645633,,,Detalle,Cárcavas,"27.843609356013577,-15.473601445555687",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/132_03-01-2018_17-02-08_1513762025395.png,
INCIDENCIA,KDPSH,,,Yes,ayagaures.pistas1,,"2018-01-03 17:22:07","2018-01-03 17:24:07","2018-01-03 18:20:21",,"2018-01-03 18:20:21",,,,,27.8436468,-15.4645633,,,Detalle,Cárcavas,"27.843217731935578,-15.470385141670704",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/134_03-01-2018_17-24-07_1513762025395.png,"Acceso al barranco muy deteriorado con muchas piedras y cárcavas."
INCIDENCIA,KDPSP,,,Yes,ayagaures.pistas1,,"2018-01-03 17:25:15","2018-01-03 17:26:15","2018-01-03 18:22:26",,"2018-01-03 18:22:26",,,,,27.8485231,-15.4582489,,,Detalle,Desprendimiento,"27.843763218530917,-15.470527298748493",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/135_03-01-2018_17-26-15_1513762025395.png,
